dataset,format,input_dtype,input_payload_bytes,elements,warmup,repeats,quantize_median_ms,quantize_p95_ms,quantize_effective_gbps,dequantize_median_ms,dequantize_p95_ms,dequantize_effective_gbps,device_pipeline_median_ms,device_pipeline_p95_ms,end_to_end_median_ms,end_to_end_p95_ms,max_abs,mae,mse,original_bytes,quantized_payload_bytes,compression_ratio
uniform_fp32,MXFP8,fp32,4194304,1048576,10,100,15.36409569,15.40694427,0.3433751069,0.05222399905,0.05814399943,101.0196097,15.49193621,15.52684784,17.163,17.5022,256,71.08936658,9416.274452,4194304,1081344,3.878787879
uniform_fp32,NVFP4,fp32,4194304,1048576,10,100,21.99398327,22.02521515,0.4085948366,0.0460800007,0.05222399905,103.8223075,22.04051208,22.07011223,23.77285,24.2135,999.9931641,265.3150964,123673.0773,4194304,589828,7.111062886
normal_fp32,MXFP8,fp32,4194304,1048576,10,100,15.20844841,15.22790432,0.3468892985,0.05396800116,0.06451199949,97.75511205,15.26169586,15.29343987,16.9221,17.2337,3.994911194,0.3599037839,0.2817695029,4194304,1081344,3.878787879
normal_fp32,NVFP4,fp32,4194304,1048576,10,100,21.99534416,22.01907158,0.4085695561,0.04614400119,0.05615999922,103.6783087,22.04262352,22.08255959,24.05075,24.6153,12.85183716,1.429886816,3.62741305,4194304,589828,7.111062886
outliers_fp32,MXFP8,fp32,4194304,1048576,10,100,15.22329617,15.25657558,0.3465509665,0.05307199992,0.06656000018,99.40548703,15.28001595,15.30368042,16.9562,17.377,144,0.5035985556,21.02586777,4194304,1081344,3.878787879
outliers_fp32,NVFP4,fp32,4194304,1048576,10,100,21.6637764,21.68832016,0.4148227823,0.04505600035,0.04905600101,106.1819061,21.72721577,21.75987244,23.5984,24.2099,82.8412323,1.644688938,9.556811055,4194304,589828,7.111062886
zero_heavy_fp32,MXFP8,fp32,4194304,1048576,10,100,15.0106883,15.03433609,0.351459433,0.05406400003,0.05836800113,97.58153295,15.1342721,15.15827179,16.73835,17.0117,3.909759521,0.03593081199,0.02810817923,4194304,1081344,3.878787879
zero_heavy_fp32,NVFP4,fp32,4194304,1048576,10,100,21.95865631,21.9737606,0.4092521816,0.04505600035,0.0582720004,106.1819061,22.01238346,22.03945541,23.819,24.142,9.84746933,0.07587024325,0.1289321575,4194304,589828,7.111062886
multiscale_fp32,MXFP8,fp32,4194304,1048576,10,100,15.30979204,15.34463978,0.3445930543,0.05321599916,0.06224000081,99.13650187,15.34719992,15.37193584,17.03005,17.3885,1018.779297,10.84234719,1443.925151,4194304,1081344,3.878787879
multiscale_fp32,NVFP4,fp32,4194304,1048576,10,100,22.12451172,22.14694405,0.406184241,0.04710400105,0.05427199975,101.5653001,22.15680027,22.18291283,23.7827,24.0518,2756.363281,43.14616864,18737.45103,4194304,589828,7.111062886
normal_fp16,MXFP8,fp16,2097152,1048576,10,100,15.30777645,15.3353281,0.2076393009,0.05734400079,0.07065600157,91.99999874,15.36051178,15.38659191,16.68455,17.1908,4,0.3599066872,0.2818002126,2097152,1081344,1.939393939
normal_fp16,NVFP4,fp16,2097152,1048576,10,100,22.11123276,22.13580894,0.216737079,0.04595199972,0.05119999871,104.1115083,22.15628815,22.18393517,23.4896,23.829,12.81547546,1.429890969,3.627163983,2097152,589828,3.555531443
uniform_fp16,MXFP8,fp16,2097152,1048576,10,100,15.55251217,15.57196808,0.2043718703,0.05524799973,0.06348799914,95.49029876,15.60928011,15.62623978,16.9804,17.2458,256,71.08952546,9417.606096,2097152,1081344,1.939393939
uniform_fp16,NVFP4,fp16,2097152,1048576,10,100,21.98880005,22.01702309,0.2179438618,0.04600000009,0.05222399905,104.0028694,22.03647995,22.06412888,23.4101,23.69,1000,265.2653919,123635.4684,2097152,589828,3.555531443
outliers_fp16,MXFP8,fp16,2097152,1048576,10,100,15.31273603,15.33843231,0.2075720494,0.05311999843,0.06332799792,99.31566559,15.35227203,15.3802557,16.6728,16.9159,144,0.5036014852,21.02589868,2097152,1081344,1.939393939
outliers_fp16,NVFP4,fp16,2097152,1048576,10,100,21.77536011,21.80697632,0.2200801262,0.04687999934,0.05215999857,102.0505987,21.82539177,21.8521595,23.18375,23.4564,82.8125,1.644610383,9.556403621,2097152,589828,3.555531443
zero_heavy_fp16,MXFP8,fp16,2097152,1048576,10,100,15.09777594,15.11628819,0.2105274322,0.05318399891,0.06422399729,99.19615125,15.13779163,15.1674881,16.5889,16.9669,3.9375,0.03593114778,0.02811114957,2097152,1081344,1.939393939
zero_heavy_fp16,NVFP4,fp16,2097152,1048576,10,100,21.97145557,22.00473595,0.2181159088,0.04505600035,0.06239999831,106.1819061,22.01491261,22.04159927,23.6112,24.1072,9.849700928,0.07588134008,0.1290130419,2097152,589828,3.555531443
multiscale_fp16,MXFP8,fp16,2097152,1048576,10,100,15.30665588,15.33030415,0.2076545017,0.0580479987,0.06246399879,90.88423578,15.35524797,15.38028812,16.69765,16.9667,1024,10.84248866,1444.208387,2097152,1081344,1.939393939
multiscale_fp16,NVFP4,fp16,2097152,1048576,10,100,22.11726379,22.1552639,0.2166779781,0.04505600035,0.05596800148,106.1819061,22.15731239,22.18393517,23.5983,23.9094,2752,43.14750684,18742.9585,2097152,589828,3.555531443
tail_normal_fp32,MXFP8,fp32,4194300,1048575,10,100,15.30761623,15.33644772,0.3446417077,0.05468800105,0.06860800087,96.46801672,15.34054375,15.37110424,17.05455,17.2662,3.994911194,0.3599033812,0.2817691882,4194300,1081343,3.878787767
tail_normal_fp32,NVFP4,fp32,4194300,1048575,10,100,22.11635208,22.14268875,0.4063337375,0.04808000103,0.05734400079,99.50349205,22.16089535,22.1890564,23.84405,24.0703,12.85183716,1.42988724,3.627415583,4194300,589828,7.111056104
tail_normal_fp16,MXFP8,fp16,2097150,1048575,10,100,15.31187153,15.32723236,0.2075835729,0.05529600009,0.06041600183,95.40731682,15.3466239,15.37843227,16.636,16.8646,4,0.3599062854,0.2817998993,2097150,1081343,1.939393883
tail_normal_fp16,NVFP4,fp16,2097150,1048575,10,100,22.12009621,22.15628815,0.2166500523,0.04710400105,0.05119999871,101.5652151,22.16340828,22.19599915,23.54335,23.9722,12.81547546,1.429891397,3.627166524,2097150,589828,3.555528052
